zn,pday,Breach_flag,count
D,9,1,9877
D,10,0,30419
D,10,1,10693
D,11,0,11863
D,11,1,8311
D,12,0,13746
D,12,1,19750
D,13,0,24116
D,13,1,26963
D,14,0,24527
D,14,1,13409
D,15,0,23176
D,15,1,7529
D,16,0,26935
D,16,1,9453
D,17,0,28093
D,17,1,7636
D,18,0,11143
D,18,1,5375
D,19,0,21175
D,19,1,14928
D,20,0,28214
D,20,1,14934
D,21,0,29922
D,21,1,9669
D,22,0,21405
D,22,1,13668
D,23,0,23873
D,23,1,10453
D,24,0,27560
D,24,1,9611
D,25,0,12796
D,25,1,8807
D,26,0,7245
D,26,1,4029
D,27,0,25415
D,27,1,21276
D,28,0,39803
D,28,1,20380
D,29,0,32718
D,29,1,12190
D,30,0,31970
D,30,1,9910
D,31,0,27531
D,31,1,6376
D,32,0,11614
D,32,1,5954
D,33,0,19252
D,33,1,10511
D,34,0,28300
D,34,1,11634
D,35,0,22978
D,35,1,6545
D,36,0,23986
D,36,1,4145
D,37,0,25229
D,37,1,3309
D,38,0,19897
D,38,1,3272
D,39,0,11208
D,39,1,2439
D,40,0,23793
D,40,1,11401
D,41,0,26133
D,41,1,8420
D,42,0,21028
D,42,1,6139
D,43,0,23186
D,43,1,5382
D,44,0,23401
D,44,1,2757
D,45,0,20830
D,45,1,3346
D,46,0,9830
D,46,1,4751
D,47,0,20854
D,47,1,9502
D,48,0,24273
D,48,1,6271
D,49,0,5522
D,49,1,517
E,1,0,839
E,1,1,2216
E,2,0,1524
E,2,1,1684
E,3,0,1710
E,3,1,1909
E,4,0,1238
E,4,1,1394
E,5,0,1296
E,5,1,3903
E,6,0,1492
E,6,1,4234
E,7,0,1753
E,7,1,3972
E,8,0,1707
E,8,1,3161
E,9,0,1713
E,9,1,2831
E,10,0,1716
E,10,1,2598
E,11,0,618
E,11,1,2058
E,12,0,1087
E,12,1,3115
E,13,0,1032
E,13,1,3870
E,14,0,1531
E,14,1,3593
E,15,0,1318
E,15,1,2628
E,16,0,1450
E,16,1,3837
E,17,0,1588
E,17,1,2958
E,18,0,484
E,18,1,2743
E,19,0,797
E,19,1,3854
E,20,0,1290
E,20,1,4376
E,21,0,1588
E,21,1,4917
E,22,0,793
E,22,1,4955
E,23,0,255
E,23,1,5580
E,24,0,349
E,24,1,6091
E,25,0,323
E,25,1,5164
E,26,0,233
E,26,1,1730
E,27,0,1129
E,27,1,6484
E,28,0,1589
E,28,1,7277
E,29,0,1021
E,29,1,6529
E,30,0,690
E,30,1,5810
E,31,0,1051
E,31,1,5065
E,32,0,245
E,32,1,4659
E,33,0,696
E,33,1,5477
E,34,0,1123
E,34,1,6789
E,35,0,1359
E,35,1,3807
E,36,0,1141
E,36,1,3957
E,37,0,1319
E,37,1,3176
E,38,0,1132
E,38,1,2045
E,39,0,749
E,39,1,1783
E,40,0,1326
E,40,1,3900
E,41,0,1354
E,41,1,3419
E,42,0,1242
E,42,1,3140
E,43,0,1543
E,43,1,2958
E,44,0,1630
E,44,1,2365
E,45,0,1611
E,45,1,2101
E,46,0,984
E,46,1,1963
E,47,0,1517
E,47,1,2366
E,48,0,1233
E,48,1,2368
E,49,0,699
E,49,1,317
None,1,0,35
None,2,0,56
None,3,0,57
None,4,0,42
None,5,0,48
None,6,0,68
None,7,0,5
None,8,0,9
None,9,0,7
None,10,0,1
None,13,0,1
None,14,0,1
None,15,0,2
None,16,0,1
None,17,0,3
None,19,0,1
None,20,0,1
None,24,0,2
None,25,0,1
None,26,0,2
None,27,0,4
None,28,0,2
None,29,0,1
None,30,0,3
None,31,0,2
None,34,0,2
None,35,0,3
None,37,0,3
None,38,0,1
None,39,0,2
None,40,0,5
None,41,0,1
None,42,0,1
None,43,0,3
None,44,0,2
None,47,0,1
None,48,0,4
None,49,0,2
