_id.dl_date,_id.dl_pt,_id.dl_cl,dl_count
54,"COD","DFS - TACFAB FASHIONS PVT LTD",4.0
54,"COD","DFS - TOLEXO ONLINE PVT LTD",695.0
54,"COD","DFS - The Rainbow Trunk",1.0
54,"COD","DFS - This N That",2.0
54,"COD","DFS - Toniq",3.0
54,"COD","DFS - UTSAV FASHION PVT LTD",19.0
54,"COD","DFS - UVMTelemart",33.0
54,"COD","DFS - Unltdoffers",2.0
54,"COD","DFS - Vogmask",2.0
54,"COD","DFS - Voonik Technologies Private Limited",7.0
54,"COD","DFS - Vox Pox",41.0
54,"COD","DFS - WYO",46.0
54,"COD","DFS - Wanna Party",3.0
54,"COD","DFS - White Kalia",2.0
54,"COD","DFS - Zooomberg",1.0
54,"COD","DFS - hi2buy",1.0
54,"COD","DFS - venus shoppee",1.0
54,"COD","DFS -California Clothing Co",3.0
54,"COD","DFS- Allsilks Designers Pvt Ltd",2.0
54,"COD","DFS-LappIndia",1.0
54,"COD","Dailyobjects",128.0
54,"COD","Delements",1.0
54,"COD","Dogspot",88.0
54,"COD","Dressmyphone",3.0
54,"COD","Egitanjali",7.0
54,"COD","Elephant",4.0
54,"COD","EliteString",2.0
54,"COD","Erd Infotech",4.0
54,"COD","Everstylish",14.0
54,"COD","FASHION BUCKET",1.0
54,"COD","FIITERNITY HEALTH E SOLUTION PVT. LTD",2.0
54,"COD","Faballey",25.0
54,"COD","Fashionara",432.0
54,"COD","Fashionove",2.0
54,"COD","Flipkart",1944.0
54,"COD","GamesInc",7.0
54,"COD","Getitbazaar",4000.0
54,"COD","Globalshiksha",8.0
54,"COD","Golden Tips",4.0
54,"COD","GooseBumpPickles",1.0
54,"COD","Gourmet Co Retail Pvt. Ltd.",9.0
54,"COD","Greengood",1.0
54,"COD","HAYA CREATIONS",2.0
54,"COD","HUFT",3.0
54,"COD","Hattsoffdeals",1.0
54,"COD","HealthKart",611.0
54,"COD","HomeShop18",1163.0
54,"COD","HomeShop18-FOS",3330.0
54,"COD","Hosair.com",1.0
54,"COD","Ibaary",1.0
54,"COD","India today",446.0
54,"COD","Indiarush",102.0
54,"COD","Indikala",1.0
54,"COD","Infibeam",62.0
54,"COD","Ishimaya",4.0
54,"COD","Jabong",642.0
54,"COD","Jack of all threads",159.0
54,"COD","Just Herbs",4.0
54,"COD","Kart Rocket",7.0
54,"COD","Kawachigroup",7.0
