_id.dl_date,_id.dl_oc,_id.dl_occ,dl_count
33,"Anand_Dc (Gujarat)","Anand",12.0
33,"Aurangabad (Maharashtra)","Aurangabad",44.0
33,"Ayanambakkam (Tamil Nadu)","Chennai",56.0
33,"BLR_HSR_Layout_PC (Karnataka)","Bangalore",63.0
33,"BLR_HegdeNagar_PC (Karnataka)","Bangalore",5025.0
33,"BLR_JPNagar_Pc (Karnataka)","Bangalore",14.0
33,"BLR_Tippasandra_DPC (Karnataka)","Bangalore",60.0
33,"Bareilly (Uttar Pradesh)","Bareilly",39.0
33,"Begumpet HYD (Andhra Pradesh)","Hyderabad",87.0
33,"Belgaum_Dc (Karnataka)","Belgaum",106.0
33,"Bengaluru_Banaswadi_Dc (Karnataka)","Bangalore",45.0
33,"Bengaluru_Bellandur (Karnataka)","Bangalore",13.0
33,"Bengaluru_East (Karnataka)","Bangalore",6.0
33,"Bengaluru_Marathalli_Dc (Karnataka)","Bangalore",10.0
33,"Bengaluru_Mathikere_Dc (Karnataka)","Bangalore",21.0
33,"Bengaluru_Nandinilayout_Dc (Karnataka)","Bangalore",49.0
33,"Bengaluru_RTNagar_Dc (Karnataka)","Bangalore",38.0
33,"Bengaluru_Rajajinagar_Dc (Karnataka)","Bangalore",20.0
33,"Bengaluru_South (Karnataka)","Bangalore",1.0
33,"Bengaluru_Vijayanagar_Dc (Karnataka)","Bangalore",6.0
33,"Bengaluru_West (Karnataka)","Bangalore",2.0
33,"Bengaluru_Whitefield_Dc (Karnataka)","Bangalore",3.0
33,"Bengaluru_Yelahanka_Dc (Karnataka)","Bangalore",40.0
33,"Bhatinda (Punjab)","Bhatinda",30.0
33,"Bhavnagar_Dc (Gujarat)","Bhavnagar",25.0
33,"Bhiwandi_Pc (Maharashtra)","Mumbai",6398.0
33,"Bhopal_Hub (Madhya Pradesh)","Bhopal",41.0
33,"Bhubaneshwar_1 (Orissa)","Bhubaneshwar",4.0
33,"Bhubaneswar_Patia (Orissa)","Bhubaneshwar",14.0
33,"Bikaner_DC (Rajasthan)","Bikaner",14.0
33,"Blr_Domlur (Karnataka)","Bangalore",1017.0
33,"Blr_Ganabharathi (Karnataka)","Bangalore",72.0
33,"Bokaro (Jharkhand)","Bokaro",23.0
33,"CCU_DumDum_DPC (West Bengal)","Kolkata",176.0
33,"CCU_Gopalpur_PC (West Bengal)","Kolkata",2010.0
33,"CJB (Tamil Nadu)","Coimbatore",132.0
33,"Central Goa (Goa)","Goa",4.0
33,"Chandigarh_Hub (Chandigarh)","Chandigarh",580.0
33,"Chennai_Alandur _Pc (Tamil Nadu)","Chennai",1374.0
33,"Chennai_AshokNagar_DC (Tamil Nadu)","Chennai",92.0
33,"Chennai_Hub (Tamil Nadu)","Chennai",2.0
33,"Chennai_Madhavaram_DC (Tamil Nadu)","Chennai",42.0
33,"Chennai_Mylapore (Tamil Nadu)","Chennai",32.0
33,"Chennai_Poonamallee (Tamil Nadu)","Chennai",26.0
33,"Chennai_Porur_DC (Tamil Nadu)","Chennai",20.0
33,"Chennai_Redhills (Tamil Nadu)","Chennai",2.0
33,"Chennai_Sholinganallur_Dc (Tamil Nadu)","Chennai",5.0
33,"Cjb_West_Dc (Tamil Nadu)","Coimbatore",84.0
33,"Dehradun (Uttarakhand)","Dehradun",231.0
33,"Del_B_RPC (Delhi)","Delhi NCR",7.0
33,"Del_Okhla_PC (Delhi)","Delhi NCR",4864.0
33,"Delhi_S_PC (Delhi)","Delhi NCR",9620.0
33,"Dhanbad_Hirapur (Jharkhand)","Dhanbad",7.0
33,"Dharwad_Dc (Karnataka)","Hubli",10.0
33,"Durg_Bhilai_DC (Chhattisgarh)","Durg-Bhilainagar",3.0
33,"Erode (Tamil Nadu)","Erode",106.0
33,"GGN_Gateway (Haryana)","Delhi NCR",7899.0
33,"GZB_Mohan_Nagar_DPC (Uttar Pradesh)","Delhi NCR",134.0
33,"Goa_Ponda_Dc (Goa)","Goa",12.0
33,"Gorakhpur (Uttar Pradesh)","Gorakhpur",1.0
33,"Guntur_DC (Andhra Pradesh)","Guntur",2.0
33,"Guwahati_North (Assam)","Guwahati",1.0
33,"Gwalior_DC (Madhya Pradesh)","Gwalior",231.0
33,"HBR Layout PC (Karnataka)","Bangalore",25.0
33,"HS18 Daruhera Implant (Delhi)","Delhi NCR",538.0
33,"Haridwar (Uttarakhand)","Haridwar",14.0
33,"Hathras (Uttar Pradesh)","Hathras",10.0
33,"Hisar (Haryana)","Hisar",140.0
33,"Hosur_Dc (Tamil Nadu)","Hosur",58.0
33,"Hubli_Dc (Karnataka)","Hubli",71.0
33,"Hyd-Ecil (Andhra Pradesh)","Hyderabad",13.0
33,"Hyd_Abids_Dc (Andhra Pradesh)","Hyderabad",67.0
33,"Hyd_Attapur_Dc (Andhra Pradesh)","Hyderabad",2.0
33,"Hyd_Balanagar (Andhra Pradesh)","Hyderabad",2.0
33,"Hyd_Banjarahills_DC (Andhra Pradesh)","Hyderabad",21.0
33,"Hyd_BkGuda_Dc (Andhra Pradesh)","Hyderabad",3.0
33,"Hyd_East (Andhra Pradesh)","Hyderabad",65.0
33,"Hyd_Gachibowli (Andhra Pradesh)","Hyderabad",2.0
33,"Hyd_Hub (Andhra Pradesh)","Hyderabad",1781.0
33,"Hyd_Jeedimetla_Dc (Andhra Pradesh)","Hyderabad",13.0
33,"Hyd_LB-Nagar_Dc (Andhra Pradesh)","Hyderabad",4.0
33,"Hyd_Madhapur (Andhra Pradesh)","Hyderabad",11.0
33,"Hyd_Mehdipatnam_PC (Andhra Pradesh)","Hyderabad",1.0
33,"Hyd_Miyapur_Dc (Andhra Pradesh)","Hyderabad",5.0
33,"Hyd_North (Andhra Pradesh)","Hyderabad",36.0
33,"Hyd_Sayeedabad_Dc (Andhra Pradesh)","Hyderabad",20.0
33,"Hyd_Tolichowki_Dc (Andhra Pradesh)","Hyderabad",19.0
33,"Hyd_Trimulgherry_Dc (Andhra Pradesh)","Hyderabad",4.0
33,"Hyd_Uppal_Dc (Andhra Pradesh)","Hyderabad",3.0
33,"Indore_Las (Madhya Pradesh)","Indore",736.0
33,"Indore_Lasudia_DPC (Madhya Pradesh)","Indore",179.0
33,"Jabalpur (Madhya Pradesh)","Jabalpur",14.0
33,"Jaipur_Hub (Rajasthan)","Jaipur",452.0
33,"Jalandhar_DC (Punjab)","Jalandhar",80.0
33,"Jalandhar_Sodal Road (Punjab)","Jalandhar",367.0
33,"Jammu_SubhashNagar_DC (Jammu & Kashmir)","Jammu",48.0
33,"Jamnagar_Dc (Gujarat)","Jamnagar",11.0
33,"Jodhpur (Rajasthan)","Jodhpur",114.0
33,"Kanpur (Uttar Pradesh)","Kanpur",39.0
33,"Karnal (Haryana)","Karnal",72.0
33,"Karur (Tamil Nadu)","Karur",23.0
33,"Kirtinagar_PC (Delhi)","Delhi NCR",5076.0
33,"Kolhapur_DC (Maharashtra)","Kolhapur",39.0
33,"Kota (Rajasthan)","Kota",100.0
33,"LowerParel_CP (Maharashtra)","Mumbai",3.0
33,"Lucknow (Uttar Pradesh)","Lucknow",100.0
33,"Lucknow_Aliganj (Uttar Pradesh)","Lucknow",2.0
33,"Lucknow_Gomti Nagar (Uttar Pradesh)","Lucknow",4.0
33,"Lucknow_Indira Nagar (Uttar Pradesh)","Lucknow",1.0
33,"Lucknow_Vishnu Lok (Uttar Pradesh)","Lucknow",59.0
33,"Ludhiana_DC (Punjab)","Ludhiana",407.0
33,"Ludhiana_Dugri (Punjab)","Ludhiana",109.0
33,"Madurai (Tamil Nadu)","Madurai",47.0
33,"Mangalore (Karnataka)","Mangalore",8.0
33,"Meerut (Uttar Pradesh)","Meerut",366.0
33,"Mehedipatnam (Andhra Pradesh)","Hyderabad",45.0
33,"Moradabad_DC (Uttar Pradesh)","Bareilly",84.0
33,"Mount Road (Tamil Nadu)","Chennai",2.0
33,"Mumbai Hub (Maharashtra)","Mumbai",7.0
33,"Mumbai_Andheri_PC (Maharashtra)","Mumbai",4394.0
33,"Mumbai_Bhandup_PC (Maharashtra)","Mumbai",1.0
33,"Mumbai_CottonGreen_PC (Maharashtra)","Mumbai",1.0
33,"Mumbai_Khar West _Dc (Maharashtra)","Mumbai",3.0
33,"Mumbai_MaladWest_CP (Maharashtra)","Mumbai",1.0
33,"Mysore (Karnataka)","Mysore",50.0
33,"NOI_RPC (Delhi)","Delhi NCR",1.0
33,"Nagpur (Maharashtra)","Nagpur",1.0
33,"Nagpur_Bajajnagar_Dc (Maharashtra)","Nagpur",313.0
33,"Nanded_Dc (Maharashtra)","Nanded",4.0
33,"Nashik Road (Maharashtra)","Nashik",43.0
33,"North BLR (Karnataka)","Bangalore",7.0
33,"Panaji Goa (Goa)","Goa",1.0
33,"Panipat_PC (Haryana)","Panipat",540.0
33,"Patiala (Punjab)","Patiala",415.0
33,"Pondicherry (Pondicherry)","Pondicherry",367.0
33,"Pune Hub (Maharashtra)","Pune",999.0
