,WE 21/02,WE 28/02,WE 07/03,WE 14/03,WE 21/03,WE 28/03,Min,Max
Man-days,401,446,338,345,391,329,338,446
# of bikers,0,0,0,0,0,0,0,0
# of vans,4,4,4,4,4,4,4,4
Processing cost/shipment,17,19,8,5,5,6,5,19
