,WE 21/02,WE 28/02,WE 07/03,WE 14/03,WE 21/03,WE 28/03,Min,Max
Man-days,658,575,400,417,392,487,400,678
# of bikers,0,0,0,0,0,0,0,0
# of vans,10,10,8,8,8,8,8,10
Processing cost/shipment,22,21,5,6,5,5,4,25
